Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
ColombiaG2,12.5,19.3,54.39,0.36
ColombiaG2,5.8,11.9,21.83,0.40
ColombiaG2,6.2,11.9,16.96,0.39
ColombiaG2,10.7,11.6,31.13,0.33
ColombiaG2,11.3,13.0,45.26,0.36
ColombiaG2,5.7,6.6,8.12,0.60
ColombiaG2,6.6,9.4,15.15,0.57
ColombiaG2,9.3,12.9,50.42,0.47
ColombiaM1,18.6,9.3,174.05,0.60
ColombiaM1,25.1,20.0,495.10,0.65
ColombiaM1,86.0,29.4,5533.39,0.58
ColombiaM1,17.3,17.5,175.66,0.55
ColombiaM1,28.5,21.3,644.01,0.51
ColombiaM1,36.6,22.3,899.35,0.43
ColombiaM1,37.9,14.6,535.31,0.42
ColombiaM1,43.3,28.8,4666.75,0.53
ColombiaM1,97.1,36.2,18831.51,0.57
ColombiaM1,111.9,32.4,11657.60,0.59
ColombiaM1,21.1,17.4,194.58,0.55
ColombiaM1,31.8,17.8,414.42,0.54
ColombiaM1,43.5,24.1,970.48,0.54
ColombiaM1,17.2,28.4,236.27,0.78
ColombiaM1,23.0,24.3,170.95,0.79
ColombiaM1,29.0,31.4,954.96,0.82
ColombiaM1,56.5,28.4,4355.18,0.74
ColombiaM1,73.7,39.5,5175.71,0.75
ColombiaM1,78.0,32.3,7880.89,0.77
ColombiaM1,37.1,20.4,1463.33,0.73
ColombiaM1,60.8,45.1,4374.88,0.70
ColombiaM1,62.1,46.4,5403.71,0.73
ColombiaM1,69.6,45.5,6686.10,0.74
ColombiaM1,89.8,43.8,12788.55,0.74
ColombiaM2,6.5,10.7,20.41,0.69
ColombiaM2,6.8,9.5,8.33,0.55
ColombiaM2,8.4,12.1,25.73,0.58
ColombiaM2,8.7,11.9,27.61,0.58
ColombiaM2,8.7,11.4,24.06,0.60
ColombiaM2,10.0,10.9,28.05,0.57
ColombiaM2,10.9,16.3,35.23,0.65
ColombiaM2,5.0,7.5,9.37,0.74
ColombiaM2,11.8,17.8,84.91,0.66
CostaRic,18.0,22.5,153.35,0.53
CostaRic,21.9,19.0,136.45,0.53
CostaRic,21.9,21.9,187.91,0.53
CostaRic,26.4,26.7,420.71,0.53
CostaRic,32.3,32.5,716.11,0.53
CostaRic,36.8,27.0,733.28,0.53
CostaRic,40.5,27.5,836.25,0.53
CostaRic,47.6,35.2,1731.78,0.53
CostaRic,51.2,34.1,1671.67,0.53
CostaRic,51.4,34.7,2441.73,0.53
CostaRic,54.5,36.5,2137.32,0.53
CostaRic,55.2,35.1,1940.97,0.53
CostaRic,65.8,42.0,3287.95,0.53
CostaRic,75.5,32.2,4503.63,0.53
CostaRic,76.0,41.7,5066.42,0.53
CostaRic,79.0,40.8,5726.35,0.53
CostaRic,81.6,40.1,5228.81,0.53
CostaRic,97.5,36.0,5453.61,0.53
CostaRic,99.5,49.0,8962.32,0.53
CostaRic,116.0,40.5,13922.08,0.53
CostaRic,17.6,18.0,131.61,0.60
CostaRic,19.5,23.7,231.23,0.60
CostaRic,20.4,17.7,182.42,0.60
CostaRic,29.7,20.2,438.22,0.60
CostaRic,40.4,27.6,1126.53,0.60
CostaRic,44.5,28.3,1037.83,0.60
CostaRic,44.5,28.3,1230.67,0.60
CostaRic,47.2,31.0,1516.63,0.60
CostaRic,47.3,30.0,1470.88,0.60
CostaRic,50.0,27.0,1545.38,0.60
CostaRic,54.2,30.4,1937.08,0.60
